QuantityX; Name; Edition; Foil; CMC; Mana Cost; Quantity; Toughness; Power; Rarity; Price (total); Card Type; Card Text; Card Rulings
5x; Soul Summons; Fate Reforged; ; 2; 1W; 5; 0; 0; C; 0.999; Sorcery; "Manifest the top card of your library. (Put it onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.)"; "• The face-down permanent is a 2/2 creature with no name, mana cost, creature types, or abilities. It's colorless and has a converted mana cost of 0. Other effects that apply to the permanent can still grant or change any of these characteristics.
• Any time you have priority, you may turn a manifested creature face up by revealing that it's a creature card (ignoring any copy effects or type-changing effects that might be applying to it) and paying its mana cost. This is a special action. It doesn't use the stack and can't be responded to.
• If a manifested creature would have morph if it were face up, you may also turn it face up by paying its morph cost.
• Unlike a face-down creature that was cast using the morph ability, a manifested creature may still be turned face up after it loses its abilities if it's a creature card.
• Because the permanent is on the battlefield both before and after it's turned face up, turning a permanent face up doesn't cause any enters-the-battlefield abilities to trigger.
• Because face-down creatures don't have names, they can't have the same name as any other creature, even another face-down creature.
• A permanent that turns face up or face down changes characteristics but is otherwise the same permanent. Spells and abilities that were targeting that permanent, as well as Auras and Equipment that were attached to the permanent, aren't affected.
• Turning a permanent face up or face down doesn't change whether that permanent is tapped or untapped.
• At any time, you can look at a face-down permanent you control. You can't look at face-down permanents you don't control unless an effect allows you to or instructs you to.
• If a face-down permanent you control leaves the battlefield, you must reveal it. You must also reveal all face-down spells and permanents you control if you leave the game or if the game ends.
• You must ensure that your face-down spells and permanents can easily be differentiated from each other. You're not allowed to mix up the cards that represent them on the battlefield in order to confuse other players. The order they entered the battlefield should remain clear. Common methods for indicating this include using markers or dice, or simply placing them in order on the battlefield. You must also track how each became face down (manifested, cast face down using the morph ability, and so on).
• There are no cards in the Fate Reforged set that would turn a face-down instant or sorcery card on the battlefield face up, but some older cards can try to do this. If something tries to turn a face-down instant or sorcery card on the battlefield face up, reveal that card to show all players it's an instant or sorcery card. The permanent remains on the battlefield face down. Abilities that trigger when a permanent turns face up won't trigger, because even though you revealed the card, it never turned face up.
• Some older Magic sets feature double-faced cards, which have a Magic card face on each side rather than a Magic card face on one side and a Magic card back on the other. The rules for double-faced cards are changing slightly to account for the possibility that they are manifested. If a double-faced card is manifested, it will be put onto the battlefield face down. While face down, it can't transform. If the front face of the card is a creature card, you can turn it face up by paying its mana cost. If you do, its front face will be up. A double-faced permanent on the battlefield still can't be turned face down."
2x; Wake the Reflections; Dragon's Maze; ; 1; W; 2; 0; 0; C; 0.3996; Sorcery; "Populate. (Create a token that's a copy of a creature token you control.)"; "• You can choose any creature token you control for populate. If a spell or ability puts a token onto the battlefield under your control and then instructs you to populate (as Coursers' Accord does), you may choose to copy the token you just created, or you may choose to copy another creature token you control.
• If you choose to copy a creature token that's a copy of another creature, the new creature token will copy the characteristics of whatever the original token is copying.
• The new creature token copies the characteristics of the original token as stated by the effect that put the original token onto the battlefield.
• The new token doesn't copy whether the original token is tapped or untapped, whether it has any counters on it or Auras and Equipment attached to it, or any noncopy effects that have changed its power, toughness, color, and so on.
• Any as [this creature] enters the battlefield or [this creature] enters the battlefield with abilities of the new token will work.
• If you control no creature tokens when you populate, nothing will happen."
3x; Aeronaut Tinkerer; Magic 2015; ; 3; 2U; 3; 3; 2; C; 0.5994; Creature - Human Artificer; "Aeronaut Tinkerer has flying as long as you control an artifact. (It can't be blocked except by creatures with flying or reach.)"; ""
1x; Amphin Pathmage; Magic 2015; ; 4; 3U; 1; 2; 3; C; 0.1998; Creature - Salamander Wizard; "{2}{U}: Target creature can't be blocked this turn."; "• Activating the ability after blockers have been declared won't have any effect. It won't change or undo any blocks."
2x; Ancient Carp; Dragons of Tarkir; ; 5; 4U; 2; 5; 2; C; 0.3996; Creature - Fish; ""; ""
7x; Aven Surveyor; Fate Reforged; ; 5; 3UU; 7; 2; 2; C; 1.3986; Creature - Bird Scout; "Flying
When Aven Surveyor enters the battlefield, choose one -
 Put a +1/+1 counter on Aven Surveyor.
 Return target creature to its owner's hand."; "• You choose which mode you're using as you put the ability on the stack, after the creature has entered the battlefield. Once you've chosen a mode, you can't change that mode even if the creature leaves the battlefield in response to that ability.
• If a mode requires a target and there are no legal targets available, you must choose the mode that adds a +1/+1 counter."
3x; Chorus of the Tides; Born of the Gods; ; 4; 3U; 3; 2; 3; C; 0.5994; Creature - Siren; "Flying
Heroic - Whenever you cast a spell that targets Chorus of the Tides, scry 1. (To scry 1, look at the top card of your library, then you may put that card on the bottom of your library.)"; "• Heroic abilities will resolve before the spell that caused them to trigger.
• Heroic abilities will trigger only once per spell, even if that spell targets the creature with the heroic ability multiple times.
• Heroic abilities won't trigger when a copy of a spell is created on the stack or when a spell's targets are changed to include a creature with a heroic ability.
• When you scry, you may put all the cards you look at back on top of your library, you may put all of those cards on the bottom of your library, or you may put some of those cards on top and the rest of them on the bottom.
• You choose how to order cards returned to your library after scrying no matter where you put them.
• You perform the actions stated on a card in sequence. For some spells and abilities, that means you'll scry last. For others, that means you'll scry and then perform other actions.
• Scry appears on some spells and abilities with one or more targets. If all of the spell or ability's targets are illegal when it tries to resolve, it won't resolve and none of its effects will happen. You won't scry."
2x; Cloaked Siren; Journey into Nyx; ; 4; 3U; 2; 2; 3; C; 0.3996; Creature - Siren; "Flash (You may cast this spell any time you could cast an instant.)
Flying"; ""
1x; Coral Barrier; Magic 2015; ; 3; 2U; 1; 3; 1; C; 0.1998; Creature - Wall; "Defender (This creature can't attack.)
When Coral Barrier enters the battlefield, create a 1/1 blue Squid creature token with islandwalk. (It can't be blocked as long as defending player controls an Island.)"; ""
1x; Crookclaw Transmuter; Conspiracy; ; 4; 3U; 1; 1; 3; C; 0.1998; Creature - Bird Wizard; "Flash (You may cast this spell any time you could cast an instant.)
Flying
When Crookclaw Transmuter enters the battlefield, switch target creature's power and toughness until end of turn."; "• Effects that switch power and toughness apply after all other effects that change power and/or toughness, regardless of which effect was created first.
• Switching a creature's power and toughness twice (or any even number of times) effectively returns the creature to the power and toughness it had before any switches."
1x; Deep-Sea Terror; Magic Origins; ; 6; 4UU; 1; 6; 6; C; 0.1998; Creature - Serpent; "Deep-Sea Terror can't attack unless there are seven or more cards in your graveyard."; "• Deep-Sea Terror's ability only checks as attackers are declared. After Deep-Sea Terror legally attacks, reducing the number of cards in your graveyard won't cause it to stop attacking."
5x; Deepwater Hypnotist; Born of the Gods; ; 2; 1U; 5; 1; 2; C; 0.999; Creature - Merfolk Wizard; "Inspired - Whenever Deepwater Hypnotist becomes untapped, target creature an opponent controls gets -3/-0 until end of turn."; "• Inspired abilities trigger no matter how the creature becomes untapped: by the turn-based action at the beginning of the untap step or by a spell or ability.
• If an inspired ability triggers during your untap step, the ability will be put on the stack at the beginning of your upkeep. If the ability creates one or more token creatures, those creatures won't be able to attack that turn (unless they gain haste).
• Inspired abilities don't trigger when the creature enters the battlefield.
• If the inspired ability includes an optional cost, you decide whether to pay that cost as the ability resolves. You can do this even if the creature leaves the battlefield in response to the ability."
1x; Dirgur Nemesis; Dragons of Tarkir; ; 6; 5U; 1; 5; 6; C; 0.1998; Creature - Serpent; "Defender
Megamorph {6}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)"; "• If an attacking face-down Dirgur Nemesis is turned face up, it will continue to be attacking even though it will have defender.
• Turning a face-down creature with megamorph face up and putting a +1/+1 counter on it is a special action. It doesn't use the stack and can't be responded to.
• If a face-down creature with megamorph is turned face up some other way (for example, if you manifest a card with megamorph and then pay its mana cost to turn it face up), you won't put a +1/+1 counter on it.
• Megamorph is a variant of the morph ability. You can find more information on morph on cards with morph from the Khans of Tarkir set."
